"start","end","transaction_date","batch","account_type","category_capex","category_opex","category_cogs","category_revenues","description","quantity","unit_price","amount_manual","amount_calculated","comment","proof_of_payment","_id","uuid","__version__","instanceID","_xform_id_string","_uuid","_status","_submission_time","_validation_status","_submitted_by","rootUuid","deprecatedID","_attachments"
2025-01-31 15:30:38.434,2025-01-31 15:35:47.464,2025-01-29,"3","cogs",NA,NA,"cogs_feeds",NA,"Week 4 Feeds for Batch 3 - 170kgs mix",170,2000,340000,340000,"Send to Joseph today evening","1738337692963.jpg",435798016,"465cf73fec9d4570897ec1ad4b0948db","vndXtdUm72BfFettfRRAK9","uuid:d9590a97-9227-4ca0-9efe-01af67acba6a","aZd296rDmYBHXTs4ZrAFBb","d9590a97-9227-4ca0-9efe-01af67acba6a","submitted_via_web",2025-01-31 15:35:48,NA,"mattkuch87","uuid:d9590a97-9227-4ca0-9efe-01af67acba6a",NA,"https://kf.kobotoolbox.org/api/v2/assets/aZd296rDmYBHXTs4ZrAFBb/data/435798016/attachments/attNmWsg2dxA3rjKVoDujnqQ/; https://kf.kobotoolbox.org/api/v2/assets/aZd296rDmYBHXTs4ZrAFBb/data/435798016/attachments/attNmWsg2dxA3rjKVoDujnqQ/large/; https://kf.kobotoolbox.org/api/v2/assets/aZd296rDmYBHXTs4ZrAFBb/data/435798016/attachments/attNmWsg2dxA3rjKVoDujnqQ/medium/; https://kf.kobotoolbox.org/api/v2/assets/aZd296rDmYBHXTs4ZrAFBb/data/435798016/attachments/attNmWsg2dxA3rjKVoDujnqQ/small/; image/jpeg; mattkuch87/attachments/465cf73fec9d4570897ec1ad4b0948db/d9590a97-9227-4ca0-9efe-01af67acba6a/1738337692963.jpg; attNmWsg2dxA3rjKVoDujnqQ; 1738337692963.jpg; proof_of_payment"
2025-01-31 16:43:24.571,2025-01-31 16:46:59.192,2025-01-28,"4","cogs",NA,NA,"cogs_chicks_purchased",NA,"Joseph bought 250 Day old chicks",250,2900,725000,725000,"Joseph went to buy","1738342006275.jpg",435824212,"465cf73fec9d4570897ec1ad4b0948db","vndXtdUm72BfFettfRRAK9","uuid:f316ff8d-0a5a-448e-9f18-a1fae6e120b8","aZd296rDmYBHXTs4ZrAFBb","f316ff8d-0a5a-448e-9f18-a1fae6e120b8","submitted_via_web",2025-01-31 16:47:00,NA,"mattkuch87","uuid:f316ff8d-0a5a-448e-9f18-a1fae6e120b8",NA,"https://kf.kobotoolbox.org/api/v2/assets/aZd296rDmYBHXTs4ZrAFBb/data/435824212/attachments/attunwHvJLWkHNX2wrPkAcjw/; https://kf.kobotoolbox.org/api/v2/assets/aZd296rDmYBHXTs4ZrAFBb/data/435824212/attachments/attunwHvJLWkHNX2wrPkAcjw/large/; https://kf.kobotoolbox.org/api/v2/assets/aZd296rDmYBHXTs4ZrAFBb/data/435824212/attachments/attunwHvJLWkHNX2wrPkAcjw/medium/; https://kf.kobotoolbox.org/api/v2/assets/aZd296rDmYBHXTs4ZrAFBb/data/435824212/attachments/attunwHvJLWkHNX2wrPkAcjw/small/; image/jpeg; mattkuch87/attachments/465cf73fec9d4570897ec1ad4b0948db/f316ff8d-0a5a-448e-9f18-a1fae6e120b8/1738342006275.jpg; attunwHvJLWkHNX2wrPkAcjw; 1738342006275.jpg; proof_of_payment"
2025-02-04 09:20:42.583,2025-02-04 09:26:53.314,2025-02-03,"3","cogs",NA,NA,"cogs_vet",NA,"Vaccines Gumboro 500 doses for week 4",500,20,10000,10000,"Balance of 25th and 26th January 2025","1738661199097.jpg",436865976,"465cf73fec9d4570897ec1ad4b0948db","vndXtdUm72BfFettfRRAK9","uuid:8440fce6-e742-4c16-b7e8-5f26e43cc5c5","aZd296rDmYBHXTs4ZrAFBb","8440fce6-e742-4c16-b7e8-5f26e43cc5c5","submitted_via_web",2025-02-04 09:26:59,NA,"mattkuch87","uuid:8440fce6-e742-4c16-b7e8-5f26e43cc5c5",NA,"https://kf.kobotoolbox.org/api/v2/assets/aZd296rDmYBHXTs4ZrAFBb/data/436865976/attachments/attYHEfYbJndMqnRYUGseGrB/; https://kf.kobotoolbox.org/api/v2/assets/aZd296rDmYBHXTs4ZrAFBb/data/436865976/attachments/attYHEfYbJndMqnRYUGseGrB/large/; https://kf.kobotoolbox.org/api/v2/assets/aZd296rDmYBHXTs4ZrAFBb/data/436865976/attachments/attYHEfYbJndMqnRYUGseGrB/medium/; https://kf.kobotoolbox.org/api/v2/assets/aZd296rDmYBHXTs4ZrAFBb/data/436865976/attachments/attYHEfYbJndMqnRYUGseGrB/small/; image/jpeg; mattkuch87/attachments/465cf73fec9d4570897ec1ad4b0948db/8440fce6-e742-4c16-b7e8-5f26e43cc5c5/1738661199097.jpg; attYHEfYbJndMqnRYUGseGrB; 1738661199097.jpg; proof_of_payment"
2025-02-04 09:36:04.123,2025-02-04 09:41:24.336,2025-02-03,"4","cogs",NA,NA,"cogs_vet",NA,"500 doses of Newcastle ib for week 1",500,20,10000,10000,"Balance from sales","1738662068344.jpg",436871999,"465cf73fec9d4570897ec1ad4b0948db","vndXtdUm72BfFettfRRAK9","uuid:ed1ae2c7-4428-443b-821f-6cb7ed08fc4c","aZd296rDmYBHXTs4ZrAFBb","ed1ae2c7-4428-443b-821f-6cb7ed08fc4c","submitted_via_web",2025-02-04 09:41:55,NA,"mattkuch87","uuid:ed1ae2c7-4428-443b-821f-6cb7ed08fc4c",NA,"https://kf.kobotoolbox.org/api/v2/assets/aZd296rDmYBHXTs4ZrAFBb/data/436871999/attachments/attUFMRcCYjR5RP7UgWjkzug/; https://kf.kobotoolbox.org/api/v2/assets/aZd296rDmYBHXTs4ZrAFBb/data/436871999/attachments/attUFMRcCYjR5RP7UgWjkzug/large/; https://kf.kobotoolbox.org/api/v2/assets/aZd296rDmYBHXTs4ZrAFBb/data/436871999/attachments/attUFMRcCYjR5RP7UgWjkzug/medium/; https://kf.kobotoolbox.org/api/v2/assets/aZd296rDmYBHXTs4ZrAFBb/data/436871999/attachments/attUFMRcCYjR5RP7UgWjkzug/small/; image/jpeg; mattkuch87/attachments/465cf73fec9d4570897ec1ad4b0948db/ed1ae2c7-4428-443b-821f-6cb7ed08fc4c/1738662068344.jpg; attUFMRcCYjR5RP7UgWjkzug; 1738662068344.jpg; proof_of_payment"
2025-02-04 11:46:39.119,2025-02-04 13:53:21.812,2025-02-04,"4","opex",NA,"opex_utilities",NA,NA,"Charcoal",1,65000,65000,65000,"Cash at hand","1738677179361.jpg",436978487,"465cf73fec9d4570897ec1ad4b0948db","vndXtdUm72BfFettfRRAK9","uuid:188c5375-8c08-445d-bd50-1fc3da1b656f","aZd296rDmYBHXTs4ZrAFBb","188c5375-8c08-445d-bd50-1fc3da1b656f","submitted_via_web",2025-02-04 13:54:27,NA,"mattkuch87","uuid:188c5375-8c08-445d-bd50-1fc3da1b656f",NA,"https://kf.kobotoolbox.org/api/v2/assets/aZd296rDmYBHXTs4ZrAFBb/data/436978487/attachments/att3WXWorJZy7wvwszB3anSK/; https://kf.kobotoolbox.org/api/v2/assets/aZd296rDmYBHXTs4ZrAFBb/data/436978487/attachments/att3WXWorJZy7wvwszB3anSK/large/; https://kf.kobotoolbox.org/api/v2/assets/aZd296rDmYBHXTs4ZrAFBb/data/436978487/attachments/att3WXWorJZy7wvwszB3anSK/medium/; https://kf.kobotoolbox.org/api/v2/assets/aZd296rDmYBHXTs4ZrAFBb/data/436978487/attachments/att3WXWorJZy7wvwszB3anSK/small/; image/jpeg; mattkuch87/attachments/465cf73fec9d4570897ec1ad4b0948db/188c5375-8c08-445d-bd50-1fc3da1b656f/1738677179361.jpg; att3WXWorJZy7wvwszB3anSK; 1738677179361.jpg; proof_of_payment"
2025-02-06 14:17:14.768,2025-02-06 14:21:39.651,2025-02-06,"3","cogs",NA,NA,"cogs_feeds",NA,"Broken maize",140,1100,154000,154000,"Withdrawn money","1738851680876.jpg",437798374,"465cf73fec9d4570897ec1ad4b0948db","vndXtdUm72BfFettfRRAK9","uuid:9260a3bf-26da-4f26-9563-eb0c827f2fc0","aZd296rDmYBHXTs4ZrAFBb","9260a3bf-26da-4f26-9563-eb0c827f2fc0","submitted_via_web",2025-02-06 14:23:33,NA,"mattkuch87","uuid:9260a3bf-26da-4f26-9563-eb0c827f2fc0",NA,"https://kf.kobotoolbox.org/api/v2/assets/aZd296rDmYBHXTs4ZrAFBb/data/437798374/attachments/attWvB3syzuGGrkWaxgG4XLh/; https://kf.kobotoolbox.org/api/v2/assets/aZd296rDmYBHXTs4ZrAFBb/data/437798374/attachments/attWvB3syzuGGrkWaxgG4XLh/large/; https://kf.kobotoolbox.org/api/v2/assets/aZd296rDmYBHXTs4ZrAFBb/data/437798374/attachments/attWvB3syzuGGrkWaxgG4XLh/medium/; https://kf.kobotoolbox.org/api/v2/assets/aZd296rDmYBHXTs4ZrAFBb/data/437798374/attachments/attWvB3syzuGGrkWaxgG4XLh/small/; image/jpeg; mattkuch87/attachments/465cf73fec9d4570897ec1ad4b0948db/9260a3bf-26da-4f26-9563-eb0c827f2fc0/1738851680876.jpg; attWvB3syzuGGrkWaxgG4XLh; 1738851680876.jpg; proof_of_payment"
2025-02-06 14:23:51.567,2025-02-06 14:26:23.383,2025-02-06,"3","cogs",NA,NA,"cogs_feeds",NA,"Hendrix concentrate",50,4300,215000,215000,"Withdrawn money","1738851974802.jpg",437799704,"465cf73fec9d4570897ec1ad4b0948db","vndXtdUm72BfFettfRRAK9","uuid:b3b79a28-54d9-4ea1-97bb-364cda2aa423","aZd296rDmYBHXTs4ZrAFBb","b3b79a28-54d9-4ea1-97bb-364cda2aa423","submitted_via_web",2025-02-06 14:26:42,NA,"mattkuch87","uuid:b3b79a28-54d9-4ea1-97bb-364cda2aa423",NA,"https://kf.kobotoolbox.org/api/v2/assets/aZd296rDmYBHXTs4ZrAFBb/data/437799704/attachments/attqKjZjgxtwbp87zgS2ZCcb/; https://kf.kobotoolbox.org/api/v2/assets/aZd296rDmYBHXTs4ZrAFBb/data/437799704/attachments/attqKjZjgxtwbp87zgS2ZCcb/large/; https://kf.kobotoolbox.org/api/v2/assets/aZd296rDmYBHXTs4ZrAFBb/data/437799704/attachments/attqKjZjgxtwbp87zgS2ZCcb/medium/; https://kf.kobotoolbox.org/api/v2/assets/aZd296rDmYBHXTs4ZrAFBb/data/437799704/attachments/attqKjZjgxtwbp87zgS2ZCcb/small/; image/jpeg; mattkuch87/attachments/465cf73fec9d4570897ec1ad4b0948db/b3b79a28-54d9-4ea1-97bb-364cda2aa423/1738851974802.jpg; attqKjZjgxtwbp87zgS2ZCcb; 1738851974802.jpg; proof_of_payment"
2025-02-06 14:27:07.818,2025-02-06 14:30:11.845,2025-02-06,"4","opex",NA,"opex_other",NA,NA,"Ultra clean disinfectant",500,20000,20000,1e+07,"Withdrawn money","1738852203536.jpg",437801554,"465cf73fec9d4570897ec1ad4b0948db","vndXtdUm72BfFettfRRAK9","uuid:f209b46d-9634-4d25-bc07-7773776830dd","aZd296rDmYBHXTs4ZrAFBb","f209b46d-9634-4d25-bc07-7773776830dd","submitted_via_web",2025-02-06 14:30:24,NA,"mattkuch87","uuid:f209b46d-9634-4d25-bc07-7773776830dd",NA,"https://kf.kobotoolbox.org/api/v2/assets/aZd296rDmYBHXTs4ZrAFBb/data/437801554/attachments/att9TVJq9DcUR5H7ua9fVS5t/; https://kf.kobotoolbox.org/api/v2/assets/aZd296rDmYBHXTs4ZrAFBb/data/437801554/attachments/att9TVJq9DcUR5H7ua9fVS5t/large/; https://kf.kobotoolbox.org/api/v2/assets/aZd296rDmYBHXTs4ZrAFBb/data/437801554/attachments/att9TVJq9DcUR5H7ua9fVS5t/medium/; https://kf.kobotoolbox.org/api/v2/assets/aZd296rDmYBHXTs4ZrAFBb/data/437801554/attachments/att9TVJq9DcUR5H7ua9fVS5t/small/; image/jpeg; mattkuch87/attachments/465cf73fec9d4570897ec1ad4b0948db/f209b46d-9634-4d25-bc07-7773776830dd/1738852203536.jpg; att9TVJq9DcUR5H7ua9fVS5t; 1738852203536.jpg; proof_of_payment"
2025-02-06 14:30:33.524,2025-02-06 14:32:33.893,2025-02-06,"5","capex","capex_equipment",NA,NA,NA,"Brooding papers",6,7000,42000,42000,"Withdrawn money","1738852347917.jpg",437802642,"465cf73fec9d4570897ec1ad4b0948db","vndXtdUm72BfFettfRRAK9","uuid:61c4e1b5-6885-4534-b3b0-909796ecf6cf","aZd296rDmYBHXTs4ZrAFBb","61c4e1b5-6885-4534-b3b0-909796ecf6cf","submitted_via_web",2025-02-06 14:32:52,NA,"mattkuch87","uuid:61c4e1b5-6885-4534-b3b0-909796ecf6cf",NA,"https://kf.kobotoolbox.org/api/v2/assets/aZd296rDmYBHXTs4ZrAFBb/data/437802642/attachments/attfY4wM9g4AbJNX7h3Za9cq/; https://kf.kobotoolbox.org/api/v2/assets/aZd296rDmYBHXTs4ZrAFBb/data/437802642/attachments/attfY4wM9g4AbJNX7h3Za9cq/large/; https://kf.kobotoolbox.org/api/v2/assets/aZd296rDmYBHXTs4ZrAFBb/data/437802642/attachments/attfY4wM9g4AbJNX7h3Za9cq/medium/; https://kf.kobotoolbox.org/api/v2/assets/aZd296rDmYBHXTs4ZrAFBb/data/437802642/attachments/attfY4wM9g4AbJNX7h3Za9cq/small/; image/jpeg; mattkuch87/attachments/465cf73fec9d4570897ec1ad4b0948db/61c4e1b5-6885-4534-b3b0-909796ecf6cf/1738852347917.jpg; attfY4wM9g4AbJNX7h3Za9cq; 1738852347917.jpg; proof_of_payment"
2025-02-06 14:32:59.285,2025-02-06 14:37:09.058,2025-02-06,"3","opex",NA,"opex_transport",NA,NA,"Transport",10000,10000,10000,1e+08,"Withdrawn money","1738852620671.jpg",437804770,"465cf73fec9d4570897ec1ad4b0948db","vndXtdUm72BfFettfRRAK9","uuid:ad9cea27-434f-480d-a66e-c411c8c56a59","aZd296rDmYBHXTs4ZrAFBb","ad9cea27-434f-480d-a66e-c411c8c56a59","submitted_via_web",2025-02-06 14:37:24,NA,"mattkuch87","uuid:ad9cea27-434f-480d-a66e-c411c8c56a59",NA,"https://kf.kobotoolbox.org/api/v2/assets/aZd296rDmYBHXTs4ZrAFBb/data/437804770/attachments/attcdqFXAaxGjP2YFUqpQYDY/; https://kf.kobotoolbox.org/api/v2/assets/aZd296rDmYBHXTs4ZrAFBb/data/437804770/attachments/attcdqFXAaxGjP2YFUqpQYDY/large/; https://kf.kobotoolbox.org/api/v2/assets/aZd296rDmYBHXTs4ZrAFBb/data/437804770/attachments/attcdqFXAaxGjP2YFUqpQYDY/medium/; https://kf.kobotoolbox.org/api/v2/assets/aZd296rDmYBHXTs4ZrAFBb/data/437804770/attachments/attcdqFXAaxGjP2YFUqpQYDY/small/; image/jpeg; mattkuch87/attachments/465cf73fec9d4570897ec1ad4b0948db/ad9cea27-434f-480d-a66e-c411c8c56a59/1738852620671.jpg; attcdqFXAaxGjP2YFUqpQYDY; 1738852620671.jpg; proof_of_payment"
